,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
8830,2,1.0,1.0,1.0,$703.00,1,1125,0
8831,6,2.0,1.0,5.0,$690.00,1,120,64
8832,3,1.0,1.0,2.0,$302.00,1,1125,8
8833,7,3.0,1.5,3.0,$952.00,1,1125,0
8834,4,2.0,1.0,2.0,$552.00,2,1125,2
8835,2,1.0,1.0,2.0,$440.00,3,100,21
8836,4,2.0,1.0,3.0,$998.00,3,1125,15
8837,4,2.0,1.0,2.0,"$1,057.00",2,1125,7
8838,2,2.0,1.0,2.0,$663.00,3,14,160
8839,5,2.0,1.0,3.0,$900.00,3,30,9
8840,4,1.0,1.0,3.0,$801.00,3,1125,2
8841,3,1.0,1.0,1.0,"$1,103.00",3,10,125
8842,4,2.0,1.0,2.0,$453.00,100,180,1
8843,4,2.0,1.0,2.0,$552.00,3,1125,14
8844,4,2.0,1.0,3.0,$703.00,6,1125,1
8845,2,1.0,1.0,1.0,$703.00,3,1125,13
8846,5,3.0,1.0,5.0,$972.00,4,15,19
8847,6,3.0,1.0,3.0,"$1,051.00",1,1125,0
8848,2,0.0,1.0,1.0,$453.00,4,1125,1
8849,3,2.0,1.0,2.0,$604.00,3,1125,4
8850,3,1.0,1.0,2.0,$401.00,1,1125,6
8851,2,1.0,1.0,1.0,$302.00,1,1125,0
8852,2,0.0,1.0,2.0,$302.00,7,11,0
8853,4,1.0,1.0,2.0,$637.00,4,1125,0
8854,4,1.0,1.0,4.0,$453.00,2,1125,13
8855,6,3.0,1.0,4.0,$998.00,4,1125,1
8856,4,2.0,1.0,1.0,"$1,274.00",3,1125,2
8857,2,1.0,1.0,1.0,$657.00,3,15,50
8858,6,2.0,1.0,1.0,"$1,997.00",1,1125,1
8859,4,1.0,1.0,4.0,$493.00,3,20,3
8860,2,1.0,1.0,1.0,$598.00,2,1125,14
8861,2,2.0,1.0,1.0,$598.00,2,20,12
8862,1,1.0,1.0,1.0,$250.00,1,1125,0
8863,2,1.0,1.0,1.0,$263.00,1,1125,7
8864,4,2.0,1.5,4.0,$703.00,3,1125,0
8865,6,4.0,1.0,6.0,"$1,300.00",3,1125,14
8866,1,1.0,1.0,1.0,$250.00,1,3,2
8867,4,1.0,1.0,1.0,$499.00,4,1125,40
8868,2,1.0,1.0,1.0,$650.00,1,1125,0
8869,5,3.0,1.0,3.0,"$1,097.00",7,9,0
8870,4,2.0,1.0,3.0,"$1,097.00",3,1125,5
8871,3,1.0,1.0,2.0,$407.00,1,7,57
8872,5,3.0,2.0,3.0,$749.00,3,4,0
8873,4,1.0,1.0,4.0,$972.00,3,10,27
8874,5,2.0,1.0,5.0,$749.00,2,1125,22
8875,2,1.0,1.0,1.0,$368.00,3,1125,1
8876,5,2.0,1.0,2.0,$959.00,7,1125,20
8877,4,3.0,1.0,4.0,"$1,300.00",3,30,28
8878,2,1.0,1.0,1.0,$348.00,2,21,2
8879,4,1.0,1.0,2.0,"$4,965.00",3,21,71
8880,5,3.0,1.0,4.0,$998.00,3,1125,3
8881,2,1.0,1.0,1.0,$558.00,2,1125,15
8882,5,2.0,1.0,4.0,$703.00,5,1124,2
8883,4,2.0,1.0,4.0,$952.00,3,1125,2
8884,5,2.0,1.0,3.0,$552.00,1,1125,0
8885,2,1.0,1.0,1.0,$296.00,2,1125,6
8886,3,2.0,1.0,2.0,$486.00,5,1125,6
8887,2,1.0,1.0,1.0,$979.00,3,6,14
8888,6,4.0,1.5,6.0,$998.00,6,1125,11
